id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
render-token,30,RNDR,Render Token,369614008.1087959400000000,536870912.0000000000000000,2999276233.2700429621148833,22455579.1112160410144702,8.1146173236681158,-2.0734793596341633,8.2440622786276912,https://etherscan.io/token/0x6de037ef9ad2725eb40118bb1702ebb27e4aeb24
maker,31,MKR,Maker,924709.7157545100000000,1005577.0000000000000000,2994634253.0908930358933516,89247754.4020631354389453,3238.4587315030463786,5.6917743809973239,3144.1754469702809286,https://etherscan.io/token/Maker
vechain,32,VET,VeChain,72714516834.0000000000000000,86712634466.0000000000000000,2900163113.9575488784087032,51088005.7191736684600390,0.0398842382543548,-0.9973359911446413,0.0395774175574965,https://explore.veforge.com/
the-graph,33,GRT,The Graph,9457212035.9913300000000000,,2419418298.0355696440027095,41833760.2383601930737686,0.2558278580228491,0.0967111390717995,0.2525523983421609,https://etherscan.io/token/0xc944e90c64b2c07662a292be6244bdf05cda44a7
monero,34,XMR,Monero,18424594.1166683300000000,,2263127769.7724698206201288,34393277.1376840610809013,122.8318928190156057,0.9488123955190209,120.2495417756538151,http://moneroblocks.info/
theta,35,THETA,THETA,1000000000.0000000000000000,1000000000.0000000000000000,2040249987.9499967000000000,24562706.4936779127637700,2.0402499879499967,0.5932686423741962,2.0068288371157583,https://explorer.thetatoken.org/
cosmos,36,ATOM,Cosmos,248453201.0000000000000000,,2019453762.5659278015896255,159881883.4456197175739660,8.1281052304330255,-0.0451896106920286,8.0674668845289838,https://www.mintscan.io/
fantom,37,FTM,Fantom,2803634835.5265927000000000,3175000000.0000000000000000,1909716030.6130186444856212,133588378.3719984116062253,0.6811571915193179,5.4742651748133121,0.6693827952418339,https://etherscan.io/token/0x4e15361fd6b4bb609fa63c81a2be19d873717870
injective-protocol,38,INJ,Injective,73005554.3300000000000000,100000000.0000000000000000,1802567145.2597531918676818,61684092.2676812754639671,24.6908219765277302,1.3970921429601957,24.5333846305403520,https://etherscan.io/token/0xe28b3b32b6c345a34ff64674606124dd5aceca30
lido-dao,39,LDO,Lido DAO,891732114.7837834000000000,1000000000.0000000000000000,1786167486.2586698753305723,2481125.4140043437991388,2.0030314672380713,-2.1322060394690653,1.9859254555775512,https://etherscan.io/token/0x5a98fcbea516cf06857215779fd812ca3bef1b32
fetch,40,FET,Fetch.ai,848485279.9547031000000000,,1738357205.0421001814780008,151101590.7888529527884155,2.0487770926737862,-0.0670750506693474,2.0460396315872675,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
thorchain,41,RUNE,THORChain,334138313.0000000000000000,,1703783486.9170964637040153,135477814.5404198057831228,5.0990365984073681,-1.4864677041044991,5.0921222267851519,https://explorer.binance.org/asset/RUNE-B1A
arweave,42,AR,Arweave,65454185.0000000000000000,66000000.0000000000000000,1609224226.6648812603605420,37746731.1287201364340931,24.5855055206153932,-3.9144398097295866,24.8314470332838179,https://viewblock.io/arweave
pendle,43,PENDLE,Pendle,239185588.2446348700000000,258446029.0000000000000000,1440790870.7455512959457010,10634297.6207629022781215,6.0237361344360572,-7.2975469544107176,6.1019999393759747,https://etherscan.io/token/0x808507121b80c02388fad14726482e061b8da827
algorand,44,ALGO,Algorand,8130181267.1087020000000000,10000000000.0000000000000000,1411856034.3338450787452592,50006489.0371324589571972,0.1736561569722463,0.6679636022419503,0.1727630493470342,https://algoexplorer.io/
bitcoin-sv,45,BSV,Bitcoin SV,19688931.2500000000000000,,1318449020.3395041109013631,9031561.5819179027072057,66.9639709539594289,1.3027569948208643,66.2029826718489613,https://bsvexplorer.io/
flow,46,FLOW,Flow,1500475342.0000000000000000,,1315105831.4457732898689582,26023011.4010958581835602,0.8764594756304721,0.3898242720511802,0.8712174585142323,https://flowscan.org/
neo,47,NEO,Neo,70538831.0000000000000000,100000000.0000000000000000,1311736841.5169832096954451,81323260.4393954932117814,18.5959537877369021,-6.0732820958834290,19.2458124910066916,https://neotracker.io
aave,48,AAVE,Aave,14803227.4749692200000000,16000000.0000000000000000,1276643655.9948090688364712,48340055.1483540086026815,86.2408997060597803,2.4015807435512944,84.8476153457044155,https://etherscan.io/token/0x80fB784B7eD66730e8b1DBd9820aFD29931aab03
gala,49,GALA,Gala,30672478547.8554950000000000,,1268588236.5949389757558956,64552555.0799222553752454,0.0413591694135730,0.5875360942432777,0.0411154393542393,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
quant,50,QNT,Quant,12072738.0000000000000000,14881364.0000000000000000,1261661633.1313516659408726,9467743.2160417572668707,104.5050122955829627,-0.3757754971705276,102.9905280869636180,https://etherscan.io/token/0x4a220e6096b25eadb88358cb44068a3248254675
hedera-hashgraph,51,HBAR,Hedera Hashgraph,14832756028.0000000000000000,50000000000.0000000000000000,1181871056.7001733896291972,21770025.5968590353965704,0.0796798015465999,0.3865763457824832,0.0792787874623842,https://hash-hash.info/
singularitynet,52,AGIX,SingularityNET,1282094972.1533690000000000,2000000000.0000000000000000,1084204726.5300777041484074,5654822.3937381684021136,0.8456508683667009,2.7808799026804073,0.8318160217033486,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
ecash,53,XEC,eCash,19688617173092.0000000000000000,21000000000000.0000000000000000,1025493533.1125367654338896,9418715.2865952971410602,0.0000520856047988,-0.9647413650667161,0.0000519555867681,https://explorer.bitcoinabc.org/
axie-infinity,54,AXS,Axie Infinity,143260149.9465752200000000,270000000.0000000000000000,996520421.4453852644904836,24780183.4360987003153859,6.9560196734193639,0.5680426250416504,6.9279606796943791,https://etherscan.io/token/0xf5d669627376ebd411e34b98f19c868c8aba5ada
the-sandbox,55,SAND,The Sandbox,2251731926.2233224000000000,3000000000.0000000000000000,979213646.1535503575081234,42326279.3295868182618962,0.4348713249342781,1.5935473767184880,0.4287564144365672,https://etherscan.io/token/0x3845badAde8e6dFF049820680d1F14bD3903a5d0
elrond-egld,56,EGLD,MultiversX,24184559.1898415400000000,31415926.0000000000000000,973442530.1614880315257145,15470070.2348087789795948,40.2505798232771568,1.5548058429060358,39.5708381255110679,https://explorer.elrond.com/
tezos,57,XTZ,Tezos,978333193.8631600000000000,,971347954.1303538009335236,27806246.6823940606969692,0.9928600605840394,-0.0719112915094647,0.9984191184430286,https://tzkt.io/
nervos-network,58,CKB,Nervos Network,43973437353.7733100000000000,,962582200.5884293886927709,77428913.2850179656447722,0.0218900831618939,-4.0849994410794727,0.0220372519326632,https://explorer.nervos.org/
chiliz,59,CHZ,Chiliz,8888289967.1249620000000000,8888888888.0000000000000000,951639330.5994448232710326,45450413.7651471585659257,0.1070666387031999,4.7531075826880013,0.1042509199867257,https://etherscan.io/token/0x3506424f91fd33084466f402d5d97f05f8e3b4af
akash-network,60,AKT,Akash Network,233760998.2739370000000000,388539008.0000000000000000,928332113.8615017302804225,2376740.4945645333291331,3.9712874291100484,8.8761774906514814,3.8508778476078802,https://akash.bigdipper.live/
conflux-network,61,CFX,Conflux,3940773777.7100000000000000,,927324945.9915262013121805,40566513.8671271412682559,0.2353154477520906,-4.5784836951204392,0.2394727992797539,http://www.confluxscan.io/
gnosis-gno,62,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,866022711.6098120573353500,14207824.9643172931226609,334.4249014166778875,0.0451354671066829,332.3839855401499178,https://etherscan.io/token/Gnosis
mina,63,MINA,Mina,1087462521.8400393000000000,,843532537.1660827870038560,12688759.8363692506862867,0.7756888354541036,3.1184121374736951,0.7592990407252674,https://minaexplorer.com/
eos,64,EOS,EOS,1123218627.3384000000000000,,841797331.6638001284557494,80157845.5246019493847776,0.7494510072883486,-0.1390671160092120,0.7432390091578654,https://bloks.io/
decentraland,65,MANA,Decentraland,1908319865.3915880000000000,,820376956.0433543918276364,21659587.5344707000744458,0.4298948886511815,2.1451521826938724,0.4256196685757334,https://etherscan.io/token/decentraland
kucoin-token,66,KCS,KuCoin Token,96132689.2885607500000000,170118638.0000000000000000,796149128.2471017480358070,2181965.8043932747526168,8.2817731839094511,-2.3790442472254279,8.3557201778913117,https://etherscan.io/token/0xf34960d9d60be18cc1d5afc1a6f012a723a28811
aioz-network,67,AIOZ,AIOZ Network,1087071219.2711952000000000,,722775224.9785931154873807,5128123.5791443407355134,0.6648830473712321,-0.6003138392005849,0.6598213676399980,https://etherscan.io/token/0x626e8036deb333b408be468f951bdb42433cbf18
iota,68,IOTA,IOTA,3229505319.0000000000000000,,718848570.2432582448178287,8645469.2778702898041553,0.2225878266910073,0.0243082982837890,0.2211107197487520,https://thetangle.org/
helium,69,HNT,Helium,160875441.8242133300000000,223000000.0000000000000000,716827686.8685811285484429,13042042.3328299326338815,4.4557931200701855,7.2966816592374913,4.1645900065625115,https://explorer.helium.com/
